I,67.175003,67.517502,66.175003,66.997498,66.482155,162116400
D,67.077499,68.425003,66.457497,68.3125,67.787041,131022800
D,70,72.0625,69.512497,71.762497,71.210495,194994800
D,70.599998,71.582497,70.157501,71.107498,70.560539,131154400
I,71.845001,72.050003,70.587502,71.672501,71.121201,157125200
I,71.172501,71.737503,69.214996,70.699997,70.156174,215250000
D,69.487503,70.419998,69.212502,69.232498,68.699974,130015200
I,69.07,69.3125,66.357498,67.092499,66.576424,180991600
I,68.402496,69.474998,68.050003,69.025002,68.494064,117057200
I,68.967499,70.4375,68.717499,68.7575,68.228622,124814400
I,69.300003,70.752502,69.25,70.7425,70.198349,126508800
D,70.449997,71.135002,69.987503,70.792503,70.247971,117087600
D,71.269997,71.457497,69.550003,69.644997,69.109299,112004800
I,71.182503,72.417503,70.972504,71.932503,71.379196,137280800
D,72.489998,73.6325,72.087502,73.449997,72.885025,183064000
I,71.5625,74.75,71.462502,72.267502,71.711632,240616800
I,72.292503,73.422501,71.580002,73.290001,72.726265,133568000
I,73.764999,75.25,73.614998,74.389999,73.817802,147751200
D,75.114998,75.809998,74.717499,75.157501,74.579391,142333600
D,75.805,76.292503,75.4925,75.934998,75.350914,115215200
